,Country,Confirmed,Death,Recovered,Active,New cases,New death,New recovered,Death/100 Cases,Recovered/100 Cases,Death/100 Recovered,Population,Cases/Million People
78,India,8267623,123097,7603121,541405,38310,490,58323,1.49,91.96,1.62,1380004385,5991.0
79,Indonesia,415402,14044,345566,55792,2618,101,3624,3.38,83.19,4.06,273523621,1519.0
80,Iran,628780,35738,491247,101795,8289,440,4556,5.68,78.13,7.27,83992953,7486.0
81,Iraq,478701,11017,405777,61907,3413,51,2995,2.3,84.77,2.72,40222503,11901.0
82,Ireland,62750,1917,23364,37469,748,2,0,3.05,37.23,8.2,4937796,12708.0
83,Israel,315636,2580,303405,9651,693,26,696,0.82,96.12,0.85,8655541,36466.0
84,Italy,731588,39059,296017,396512,22253,233,3637,5.34,40.46,13.19,60461828,12100.0
85,Jamaica,9257,210,4637,4410,126,2,20,2.27,50.09,4.53,2961161,3126.0
86,Japan,102431,1787,92673,7971,488,11,423,1.74,90.47,1.93,126476458,810.0
87,Jordan,81743,913,7858,72972,5877,47,118,1.12,9.61,11.62,10203140,8012.0
88,Kazakhstan,113309,1857,106716,4736,449,32,202,1.64,94.18,1.74,18776707,6035.0
89,Kenya,56601,1027,37442,18132,724,14,248,1.81,66.15,2.74,53771300,1053.0
90,"Korea, South",26807,472,24510,1825,75,4,115,1.76,91.43,1.93,51269183,523.0
91,Kosovo,20179,688,15611,3880,851,10,182,3.41,77.36,4.41,1793000,11254.0
92,Kuwait,127293,786,118386,8121,759,4,828,0.62,93.0,0.66,4270563,29807.0
93,Kyrgyzstan,59879,1155,50741,7983,1001,11,758,1.93,84.74,2.28,6524191,9178.0
94,Laos,24,0,23,1,0,0,1,0.0,95.83,0.0,7275556,3.0
95,Latvia,6268,77,1406,4785,132,3,0,1.23,22.43,5.48,1886202,3323.0
96,Lebanon,83697,652,43885,39160,1080,9,981,0.78,52.43,1.49,6825442,12263.0
97,Lesotho,1961,44,988,929,8,0,13,2.24,50.38,4.45,2142249,915.0
98,Liberia,1436,82,1283,71,10,0,4,5.71,89.35,6.39,5057677,284.0
99,Libya,62907,880,36608,25419,862,9,755,1.4,58.19,2.4,6871287,9155.0
100,Liechtenstein,598,3,355,240,47,0,8,0.5,59.36,0.85,38137,15680.0
101,Lithuania,16556,170,4891,11495,837,4,8,1.03,29.54,3.48,2722291,6082.0
102,Luxembourg,19101,160,10717,8224,1967,8,636,0.84,56.11,1.49,625976,30514.0
103,MS Zaandam,9,2,0,7,0,0,0,22.22,0.0,inf,76804,117.0
104,Madagascar,17111,244,16409,458,0,0,0,1.43,95.9,1.49,27691019,618.0
105,Malawi,5933,184,5323,426,1,0,0,3.1,89.72,3.46,19129955,310.0
106,Malaysia,33339,251,23120,9968,834,2,900,0.75,69.35,1.09,32365998,1030.0
107,Maldives,11737,38,10916,783,36,0,33,0.32,93.01,0.35,540542,21713.0
108,Mali,3573,136,2769,668,8,0,11,3.81,77.5,4.91,20250834,176.0
109,Malta,6400,66,4397,1937,218,2,111,1.03,68.7,1.5,441539,14495.0
110,Marshall Islands,2,0,0,2,0,0,0,0.0,0.0,,59326,34.0
111,Mauritania,7704,163,7437,104,0,0,0,2.12,96.53,2.19,4649660,1657.0
112,Mauritius,451,10,413,28,5,0,6,2.22,91.57,2.42,1271767,355.0
113,Mexico,933155,92100,795356,45699,3763,205,8840,9.87,85.23,11.58,128932753,7238.0
114,Moldova,76777,1818,56875,18084,195,18,563,2.37,74.08,3.2,4033963,19033.0
115,Monaco,375,2,281,92,9,0,7,0.53,74.93,0.71,39244,9556.0
116,Mongolia,350,0,313,37,1,0,0,0.0,89.43,0.0,3278292,107.0
117,Montenegro,19210,320,14456,4434,496,7,240,1.67,75.25,2.21,628062,30586.0
118,Morocco,225070,3826,187101,34143,2526,64,2788,1.7,83.13,2.04,36910558,6098.0
119,Mozambique,13130,94,10439,2597,142,1,0,0.72,79.5,0.9,31255435,420.0
120,Namibia,13012,133,11201,1678,24,0,163,1.02,86.08,1.19,2540916,5121.0
121,Nepal,176500,984,137992,37524,2933,24,3150,0.56,78.18,0.71,29136808,6058.0
122,Netherlands,374663,7527,5934,361202,8312,29,26,2.01,1.58,126.85,17474842,21440.0
123,New Zealand,1968,25,1868,75,5,0,11,1.27,94.92,1.34,4822233,408.0
124,Nicaragua,5514,156,4225,1133,0,0,0,2.83,76.62,3.69,6624554,832.0
125,Niger,1222,69,1141,12,1,0,0,5.65,93.37,6.05,24206636,50.0
126,Nigeria,63036,1147,59328,2561,72,1,538,1.82,94.12,1.93,206139587,306.0
127,North Macedonia,32997,1025,21244,10728,561,21,154,3.11,64.38,4.82,2083380,15838.0
128,Norway,21339,282,11863,9194,704,0,0,1.32,55.59,2.38,5421242,3936.0
